subject,model,roi,r8,r8_ci_lo,r8_ci_hi,r32,r32_ci_lo,r32_ci_hi,r128,r128_ci_lo,r128_ci_hi,delta_local,delta_local_ci_lo,delta_local_ci_hi,delta_long,delta_long_ci_lo,delta_long_ci_hi,delta_total,delta_total_ci_lo,delta_total_ci_hi
UTS01,awd_lstm,bilateral_PT,0.0856,0.0807,0.0904,0.0856,0.0808,0.0904,0.0856,0.0808,0.0904,0.0001,-0.0,0.0001,-0.0,-0.0,0.0,0.0001,-0.0,0.0001
UTS01,mamba,bilateral_PT,0.1211,0.1159,0.126,0.1245,0.119,0.1298,0.1255,0.1199,0.1307,0.0034,0.0023,0.0046,0.001,0.0001,0.0019,0.0044,0.0031,0.0057
UTS01,pythia,bilateral_PT,0.119,0.1137,0.124,0.1208,0.1154,0.1259,0.1219,0.1164,0.1272,0.0019,0.0008,0.0029,0.0011,0.0003,0.0019,0.003,0.0016,0.0042
UTS01,rwkv,bilateral_PT,0.1173,0.1119,0.1222,0.1184,0.1129,0.1236,0.1183,0.1128,0.1232,0.0011,0.0002,0.0019,-0.0001,-0.001,0.0007,0.001,-0.0002,0.0021
UTS01,awd_lstm,left_IFG,0.0683,0.0636,0.0728,0.0683,0.0636,0.0728,0.0683,0.0636,0.0728,0.0,-0.0001,0.0001,-0.0,-0.0,-0.0,0.0,-0.0001,0.0001
UTS01,mamba,left_IFG,0.1094,0.1037,0.1145,0.1128,0.1071,0.118,0.1141,0.1084,0.1193,0.0034,0.0024,0.0046,0.0013,0.0004,0.0022,0.0047,0.0034,0.0061
UTS01,pythia,left_IFG,0.1064,0.101,0.1116,0.1088,0.1032,0.114,0.1097,0.1041,0.1151,0.0024,0.0011,0.0035,0.0009,-0.0001,0.0019,0.0033,0.002,0.0048
UTS01,rwkv,left_IFG,0.1056,0.1001,0.1106,0.1066,0.1011,0.1117,0.1065,0.1011,0.1114,0.001,0.0001,0.002,-0.0002,-0.001,0.0007,0.0009,-0.0001,0.002
UTS02,awd_lstm,bilateral_PT,0.0912,0.086,0.0967,0.0911,0.086,0.0967,0.0911,0.086,0.0967,-0.0001,-0.0002,-0.0,-0.0,-0.0,0.0,-0.0001,-0.0002,-0.0
UTS02,mamba,bilateral_PT,0.1362,0.1306,0.1421,0.1392,0.1331,0.1456,0.1405,0.1345,0.147,0.0031,0.0017,0.0044,0.0013,0.0002,0.0023,0.0043,0.0028,0.0058
UTS02,pythia,bilateral_PT,0.134,0.1283,0.14,0.135,0.1289,0.1414,0.1347,0.1287,0.1412,0.001,-0.0001,0.0022,-0.0003,-0.0013,0.0008,0.0008,-0.0005,0.0022
UTS02,rwkv,bilateral_PT,0.1312,0.1255,0.1375,0.1332,0.127,0.1395,0.1318,0.1255,0.1386,0.0021,0.0009,0.0032,-0.0014,-0.0023,-0.0005,0.0006,-0.0007,0.002
UTS02,awd_lstm,left_IFG,0.0714,0.0671,0.0758,0.0713,0.0671,0.0758,0.0713,0.0671,0.0758,-0.0,-0.0001,0.0001,-0.0,-0.0,0.0,-0.0,-0.0001,0.0001
UTS02,mamba,left_IFG,0.1281,0.1228,0.134,0.1335,0.1278,0.1395,0.135,0.1291,0.1414,0.0054,0.0038,0.0067,0.0015,0.0005,0.0025,0.0069,0.0049,0.0088
UTS02,pythia,left_IFG,0.1243,0.1188,0.13,0.1273,0.1218,0.1332,0.1268,0.121,0.1331,0.003,0.0017,0.0043,-0.0005,-0.0018,0.0007,0.0025,0.0007,0.0042
UTS02,rwkv,left_IFG,0.1238,0.118,0.1301,0.1261,0.1203,0.1322,0.1257,0.1196,0.1322,0.0024,0.0012,0.0035,-0.0005,-0.0013,0.0004,0.0019,0.0005,0.0033
UTS03,awd_lstm,bilateral_PT,0.0913,0.0853,0.0971,0.0914,0.0854,0.0972,0.0914,0.0854,0.0972,0.0001,-0.0001,0.0002,0.0,-0.0,0.0,0.0001,-0.0001,0.0002
UTS03,mamba,bilateral_PT,0.1408,0.1329,0.1486,0.1432,0.1348,0.151,0.1452,0.1362,0.1533,0.0024,0.0008,0.0038,0.002,0.001,0.0031,0.0044,0.0025,0.0061
UTS03,pythia,bilateral_PT,0.1363,0.1286,0.1439,0.1363,0.1282,0.1442,0.139,0.1311,0.1468,0.0,-0.0013,0.0015,0.0027,0.0013,0.0041,0.0027,0.001,0.0045
UTS03,rwkv,bilateral_PT,0.1353,0.1274,0.143,0.1365,0.1287,0.1443,0.1356,0.1273,0.1434,0.0012,-0.0003,0.0027,-0.0009,-0.0025,0.0007,0.0003,-0.0015,0.002
UTS03,awd_lstm,left_IFG,0.0685,0.0642,0.0726,0.0685,0.0642,0.0726,0.0685,0.0642,0.0726,-0.0,-0.0001,0.0001,0.0,-0.0,0.0,-0.0,-0.0001,0.0001
UTS03,mamba,left_IFG,0.1315,0.1237,0.1386,0.1357,0.1279,0.1432,0.1378,0.1298,0.1451,0.0042,0.0031,0.0054,0.0021,0.001,0.0034,0.0064,0.0047,0.008
UTS03,pythia,left_IFG,0.1287,0.121,0.1355,0.1311,0.1233,0.1384,0.1322,0.1243,0.1394,0.0024,0.0011,0.0038,0.0011,0.0,0.0022,0.0035,0.002,0.0051
UTS03,rwkv,left_IFG,0.1274,0.1198,0.1343,0.1287,0.1209,0.1356,0.128,0.1204,0.1351,0.0014,0.0003,0.0026,-0.0008,-0.0018,0.0004,0.0006,-0.0008,0.0022
