model,H,condition,story,lag1_cosine_median,lag1_featurewise_corr_mean
pythia,8,normal,adollshouse,0.8839337585305536,0.267337377904652
pythia,8,normal,adventuresinsayingyes,0.8781002405220252,0.26129082557172706
pythia,8,normal,afatherscover,0.8440621075713696,0.2570946165843092
pythia,8,normal,againstthewind,0.8612840783167985,0.27880710245792933
pythia,8,normal,alternateithicatom,0.879548127639002,0.29246403455602227
pythia,8,normal,avatar,0.8610996548746421,0.3042096431098878
pythia,8,normal,backsideofthestorm,0.869661856545642,0.2764553127284595
pythia,8,normal,becomingindian,0.8829929084490802,0.28954099974612363
pythia,8,normal,beneaththemushroomcloud,0.8693693758535358,0.31260989140992196
pythia,8,normal,birthofanation,0.8833441814640364,0.2975695418900872
pythia,8,normal,bluehope,0.86922608492377,0.31482293183633286
pythia,8,normal,breakingupintheageofgoogle,0.8813806792139854,0.28438156751089233
pythia,8,normal,buck,0.8623000620472476,0.27739077724778627
pythia,8,normal,catfishingstrangerstofindmyself,0.8549820857863962,0.23823127745201125
pythia,8,normal,cautioneating,0.8704112243592954,0.32557076450066996
pythia,8,normal,christmas1940,0.862995770474683,0.2720514347271268
pythia,8,normal,cocoonoflove,0.8719321495338911,0.32026150404174086
pythia,8,normal,comingofageondeathrow,0.8778561250535695,0.2597791271882494
pythia,8,normal,exorcism,0.8800462562306255,0.33045988079337235
pythia,8,normal,eyespy,0.8792021462426975,0.3197711079473831
pythia,8,normal,firetestforlove,0.8856307447142734,0.2753326868939412
pythia,8,normal,food,0.8784882244487984,0.31467641612939173
pythia,8,normal,forgettingfear,0.8768262302729788,0.28316700361810326
pythia,8,normal,fromboyhoodtofatherhood,0.8938956833196376,0.2762682529295321
pythia,8,normal,gangstersandcookies,0.8788046611226372,0.31692194758174447
pythia,8,normal,goingthelibertyway,0.8863449398337326,0.2616504635929416
pythia,8,normal,goldiethegoldfish,0.8669583903694839,0.2920191544416825
pythia,8,normal,golfclubbing,0.871524708015676,0.3135364874374182
pythia,8,normal,gpsformylostidentity,0.8658753266642127,0.26870934601495144
pythia,8,normal,hangtime,0.8795572213214718,0.3275979366631394
pythia,8,normal,haveyoumethimyet,0.8713556454462732,0.28088875148930903
pythia,8,normal,howtodraw,0.8795015131709282,0.3081981208438416
pythia,8,normal,ifthishaircouldtalk,0.881548487976016,0.27636881140062786
pythia,8,normal,inamoment,0.8595830339770189,0.296562840992698
pythia,8,normal,itsabox,0.8660666304843052,0.28200117159293003
pythia,8,normal,jugglingandjesus,0.8510850245111966,0.2921077600843906
pythia,8,normal,kiksuya,0.8638339599401935,0.27951289817857455
pythia,8,normal,leavingbaghdad,0.875334762498191,0.27301855782188444
pythia,8,normal,legacy,0.8581184624174728,0.2912569508075355
pythia,8,normal,life,0.8664021676370008,0.28911083195564274
pythia,8,normal,lifeanddeathontheoregontrail,0.8873008497206301,0.3054304379635468
pythia,8,normal,lifereimagined,0.8734663550514554,0.3252371712044904
pythia,8,normal,listo,0.8826357711047382,0.31403594823521536
pythia,8,normal,mayorofthefreaks,0.8907865693096072,0.318113582247245
pythia,8,normal,metsmagic,0.879766821092731,0.29260158922664675
pythia,8,normal,mybackseatviewofagreatromance,0.861149492112542,0.23557071789292117
pythia,8,normal,myfathershands,0.8710123185547398,0.27397606745706055
pythia,8,normal,myfirstdaywiththeyankees,0.8951782609888469,0.2691029961374605
pythia,8,normal,naked,0.8896069678288185,0.27728262276465326
pythia,8,normal,notontheusualtour,0.8871917175173767,0.34081747124394174
pythia,8,normal,odetostepfather,0.8886487543741187,0.2815387856349701
pythia,8,normal,onlyonewaytofindout,0.8604621067276681,0.27402732633872257
pythia,8,normal,penpal,0.8882399224940203,0.3151193984890865
pythia,8,normal,quietfire,0.8604675665997402,0.35573070356946834
pythia,8,normal,reachingoutbetweenthebars,0.8651196364187764,0.2698237248670255
pythia,8,normal,shoppinginchina,0.870149297794535,0.2785515221840417
