model,H,condition,story,l2_norm_median,participation_ratio,evr_at_100
pythia,8,normal,adollshouse,23.60450995940051,2.4788694707627927,0.9761293999724368
pythia,8,normal,adventuresinsayingyes,24.09062081900557,4.123771103995263,0.9309364280445078
pythia,8,normal,afatherscover,23.967482524511343,3.2198188939365293,0.9571919956416735
pythia,8,normal,againstthewind,24.043360644845073,2.541692967700545,0.9922675808002273
pythia,8,normal,alternateithicatom,24.044980802482396,3.7105049998761848,0.9457277836213113
pythia,8,normal,avatar,24.01876427863072,2.651207023892919,0.9587524883473578
pythia,8,normal,backsideofthestorm,23.700208562485106,4.178851377434017,0.9426252292476622
pythia,8,normal,becomingindian,24.073403727545273,4.744898812261048,0.9335096513840538
pythia,8,normal,beneaththemushroomcloud,23.87027972336439,4.511293686117177,0.9370743387710043
pythia,8,normal,birthofanation,24.111319262176146,3.9397279978250754,0.9535400073365312
pythia,8,normal,bluehope,24.019308097151644,3.7271723165752713,0.933295122435954
pythia,8,normal,breakingupintheageofgoogle,23.813070533605284,3.5390862549557536,0.9296781930067968
pythia,8,normal,buck,23.875983850534865,2.933006354324621,0.9573753599607286
pythia,8,normal,catfishingstrangerstofindmyself,23.95504549849349,2.860225677023682,0.9556925490746587
pythia,8,normal,cautioneating,23.947403078215686,3.1952217056526893,0.9610392657226969
pythia,8,normal,christmas1940,23.78157749177027,3.079369276848305,0.9699528683900321
pythia,8,normal,cocoonoflove,24.012555445402782,3.5188545954026758,0.9360383454470531
pythia,8,normal,comingofageondeathrow,23.870343765166815,3.801135347277472,0.9396831512178783
pythia,8,normal,exorcism,23.98758386940486,4.6892351337420335,0.9256958506384934
pythia,8,normal,eyespy,23.891160601186087,3.766023626108983,0.9401265186131186
pythia,8,normal,firetestforlove,23.95977438052394,4.009269648099339,0.9482160804276287
pythia,8,normal,food,24.037798650821223,3.668644035737008,0.9411954111217921
pythia,8,normal,forgettingfear,24.119254021032262,3.3544611882527517,0.9621165601361066
pythia,8,normal,fromboyhoodtofatherhood,23.816359406672586,5.553806149874954,0.9269045335815495
pythia,8,normal,gangstersandcookies,23.912084447983432,4.561567146052416,0.9503057993608329
pythia,8,normal,goingthelibertyway,24.140485755498904,4.660050725571004,0.9288311918972182
pythia,8,normal,goldiethegoldfish,23.95786808729009,3.404122828871603,0.9501173679520772
pythia,8,normal,golfclubbing,23.594597983821565,3.884195894603449,0.9730610816342171
pythia,8,normal,gpsformylostidentity,23.837351199431566,3.930301449012142,0.9399411474992373
pythia,8,normal,hangtime,23.69681069007464,4.848081856378261,0.9420706757885093
pythia,8,normal,haveyoumethimyet,23.986068092112525,2.905076495969623,0.9435570324856762
pythia,8,normal,howtodraw,24.13171580029428,3.9065401072306267,0.9391094781935944
pythia,8,normal,ifthishaircouldtalk,23.85996328682019,3.925030976257265,0.9592620026273344
pythia,8,normal,inamoment,24.20731052150235,2.891739937907516,0.9821952674158225
pythia,8,normal,itsabox,23.901967128444518,3.084575700424741,0.953458028927582
pythia,8,normal,jugglingandjesus,24.018114914472985,2.299548941542362,0.9890177637955958
pythia,8,normal,kiksuya,23.961465431515617,4.0648566371031345,0.940492503306403
pythia,8,normal,leavingbaghdad,24.139528348215126,4.034282926113994,0.9439113856585409
pythia,8,normal,legacy,24.06733170545028,2.6218067350591405,0.9564573125673493
pythia,8,normal,life,23.80539110261108,3.055108114336063,0.943695306708656
pythia,8,normal,lifeanddeathontheoregontrail,24.23831519852034,3.56725665032923,0.9441798884435821
pythia,8,normal,lifereimagined,24.123388217716375,3.29599499672181,0.9525172926444715
pythia,8,normal,listo,24.019914071467145,4.831538991705517,0.9397881539340899
pythia,8,normal,mayorofthefreaks,23.835052243919918,3.326569668965373,0.9365478479743863
pythia,8,normal,metsmagic,23.803930713664403,4.218415475698403,0.961971720610379
pythia,8,normal,mybackseatviewofagreatromance,23.78927282519121,4.062505355384659,0.9307808241152714
pythia,8,normal,myfathershands,23.886379326281386,3.079660849653814,0.9865211027877888
pythia,8,normal,myfirstdaywiththeyankees,23.695929752725604,4.689722374220147,0.9346015341105468
pythia,8,normal,naked,23.72340950711085,3.795720594471427,0.9383726692377943
pythia,8,normal,notontheusualtour,24.04080590821315,3.2584562815045666,0.9692036263784247
pythia,8,normal,odetostepfather,23.924963487185806,3.427068722185319,0.9445194441145005
pythia,8,normal,onlyonewaytofindout,24.16049509261094,2.8826512417914962,0.9512268667018476
pythia,8,normal,penpal,24.238612149978415,4.4061389414734355,0.9526303051063805
pythia,8,normal,quietfire,23.689404533601476,5.2175809201490635,0.9198094977444239
pythia,8,normal,reachingoutbetweenthebars,23.871451846010245,2.731718881972604,0.9614567294926841
pythia,8,normal,shoppinginchina,24.118416587568547,3.3129378166045504,0.9467754963988643
pythia,8,normal,singlewomanseekingmanwich,23.802075338026093,3.3490400706422165,0.9528563822477613
pythia,8,normal,sloth,24.064709622455172,3.0367160578912524,0.9409724497073387
