story,H,n_words,n_targets,origin_inclusion_rate,origin_inclusion_expected,form_repetition_rate
adollshouse,8,1656,1528,0.004581151832460733,0.004830917874396135,0.09882198952879581
adollshouse,32,1656,1528,0.01963350785340314,0.01932367149758454,0.2859947643979058
adollshouse,128,1656,1528,0.07329842931937172,0.07729468599033816,0.5615183246073299
adventuresinsayingyes,8,2309,2181,0.0032095369096744614,0.0034647033347769596,0.088491517652453
adventuresinsayingyes,32,2309,2181,0.01192113709307657,0.013858813339107838,0.24438331040806968
adventuresinsayingyes,128,2309,2181,0.05685465382851903,0.055435253356431353,0.48876662081613936
afatherscover,8,1182,1054,0.003795066413662239,0.00676818950930626,0.08349146110056926
afatherscover,32,1182,1054,0.020872865275142316,0.02707275803722504,0.24667931688804554
afatherscover,128,1182,1054,0.0967741935483871,0.10829103214890017,0.5047438330170778
againstthewind,8,838,710,0.005633802816901409,0.00954653937947494,0.06619718309859154
againstthewind,32,838,710,0.035211267605633804,0.03818615751789976,0.2323943661971831
againstthewind,128,838,710,0.12816901408450704,0.15274463007159905,0.5140845070422535
alternateithicatom,8,2174,2046,0.003421309872922776,0.0036798528058877645,0.09286412512218964
alternateithicatom,32,2174,2046,0.017595307917888565,0.014719411223551058,0.2536656891495601
alternateithicatom,128,2174,2046,0.06158357771260997,0.05887764489420423,0.47996089931573804
avatar,8,1469,1341,0.0044742729306487695,0.005445881552076242,0.087248322147651
avatar,32,1469,1341,0.024608501118568233,0.021783526208304968,0.25652498135719615
avatar,128,1469,1341,0.0790454884414616,0.08713410483321987,0.5070842654735273
backsideofthestorm,8,1964,1836,0.003812636165577342,0.004073319755600814,0.08714596949891068
backsideofthestorm,32,1964,1836,0.014705882352941176,0.016293279022403257,0.26034858387799564
backsideofthestorm,128,1964,1836,0.06535947712418301,0.06517311608961303,0.5005446623093682
becomingindian,8,2619,2491,0.0036130068245684463,0.0030546009927453228,0.10437575270975512
becomingindian,32,2619,2491,0.010437575270975512,0.012218403970981291,0.27498996386993174
becomingindian,128,2619,2491,0.05218787635487756,0.048873615883925164,0.4981934965877158
beneaththemushroomcloud,8,1916,1788,0.0039149888143176735,0.0041753653444676405,0.07606263982102908
beneaththemushroomcloud,32,1916,1788,0.019574944071588368,0.016701461377870562,0.23825503355704697
beneaththemushroomcloud,128,1916,1788,0.07158836689038031,0.06680584551148225,0.4837807606263982
birthofanation,8,1590,1462,0.006155950752393981,0.005031446540880503,0.10328317373461013
birthofanation,32,1590,1462,0.018467852257181942,0.02012578616352201,0.2708618331053352
birthofanation,128,1590,1462,0.07729138166894665,0.08050314465408805,0.5027359781121751
bluehope,8,1941,1813,0.00441257584114727,0.004121586810922205,0.06398234969663541
bluehope,32,1941,1813,0.01820187534473249,0.01648634724368882,0.2084942084942085
bluehope,128,1941,1813,0.06177606177606178,0.06594538897475528,0.46552675124103693
breakingupintheageofgoogle,8,3476,3348,0.002986857825567503,0.0023014959723820483,0.09348864994026285
breakingupintheageofgoogle,32,3476,3348,0.009259259259259259,0.009205983889528193,0.27180406212664276
breakingupintheageofgoogle,128,3476,3348,0.03136200716845878,0.03682393555811277,0.5080645161290323
buck,8,1677,1549,0.0032278889606197547,0.004770423375074538,0.07811491284699806
buck,32,1677,1549,0.016785022595222725,0.01908169350029815,0.22466107165913493
